state,answer_set,facility_name,skills_for_politics,count,n_respondents,pct_of_respondents
NY,all-surveys,"Saratoga County Correctional Facility, NY",Agree,7,11,0.6363636363636364
NY,all-surveys,"Suffolk County, NY ",Strongly disagree,7,51,0.13725490196078433
NY,all-surveys,"Ulster County Jail, NY",Agree,7,17,0.4117647058823529
OH,all-surveys,"Columbiana County Jail, OH",Agree,7,17,0.4117647058823529
OH,all-surveys,"Fairfield County, OH",Agree,7,12,0.5833333333333334
OH,all-surveys,"Greene County, OH: Adult Detention",Agree,7,18,0.3888888888888889
PA,all-surveys,"Berks County Jail, PA",Strongly disagree,7,48,0.14583333333333334
PA,all-surveys,"Columbia County, PA",Strongly agree,7,16,0.4375
PA,all-surveys,"Lehigh County, PA",Strongly agree,7,58,0.1206896551724138
PA,all-surveys,"Westmoreland County, PA",Strongly disagree,7,56,0.125
SC,all-surveys,"Aiken County, SC",Agree,7,15,0.4666666666666667
TX,all-surveys,"GEO Group-Kinney County, TX",Agree,7,16,0.4375
TX,all-surveys,"MTC: Giles Dalby, TX",Strongly disagree,7,91,0.07692307692307693
TX,all-surveys,"Wichita County, TX ",Strongly agree,7,28,0.25
VA,all-surveys,"Western Regional, VA",Strongly agree,7,36,0.19444444444444445
WA,all-surveys,"Whatcom County, WA - Main Jail",Agree,7,21,0.3333333333333333
WV,all-surveys,WV DCR Central Regional Jail,Agree,7,22,0.3181818181818182
WV,all-surveys,WV DCR Southwestern Regional Jail,Disagree,7,35,0.2
WV,all-surveys,WV DCR Western Regional Jail,Strongly agree,7,27,0.25925925925925924
AL,all-surveys,"Etowah County Jail, AL",Disagree,6,31,0.1935483870967742
CA,all-surveys,"Tulare County, CA-Bob Wiley Detention ",Agree,6,10,0.6
CA,all-surveys,"Tuolumne-Dambacher Detention Center, CA",Agree,6,12,0.5
CO,all-surveys,"Jefferson County Detention Facility, CO",Disagree,6,46,0.13043478260869565
CO,all-surveys,"Larimer County, CO",Disagree,6,28,0.21428571428571427
FL,all-surveys,"Lee County, FL",Disagree,6,38,0.15789473684210525
FL,all-surveys,"Lee County, FL",Strongly disagree,6,38,0.15789473684210525
GA,all-surveys,"Dekalb County Jail, GA",Strongly disagree,6,31,0.1935483870967742
GA,all-surveys,"Forsyth County Detention Center, GA",Agree,6,17,0.35294117647058826
IL,all-surveys,"Cook County, IL","Agree, Strongly agree",6,409,0.014669926650366748
IL,all-surveys,Edovo Go - General,Agree,6,14,0.42857142857142855
IL,all-surveys,"Kane County, IL",Strongly agree,6,36,0.16666666666666666
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",Strongly agree,6,27,0.2222222222222222
KY,all-surveys,"Madison County, KY",Strongly agree,6,17,0.35294117647058826
KY,all-surveys,"Pulaski County, KY",Agree,6,11,0.5454545454545454
MA,all-surveys,"Barnstable County Correctional Facility, MA",Disagree,6,24,0.25
MA,all-surveys,"Berkshire County House of Corrections, MA",Agree,6,17,0.35294117647058826
MA,all-surveys,"Berkshire County House of Corrections, MA",Disagree,6,17,0.35294117647058826
MA,all-surveys,"Plymouth County Correctional Facility, MA",Strongly agree,6,33,0.18181818181818182
MA,all-surveys,"Worcester County Jail, MA",Strongly disagree,6,50,0.12
MD,all-surveys,"Washington County Detention Center, MD",Agree,6,14,0.42857142857142855
ME,all-surveys,"Two Bridges Regional, ME",Strongly agree,6,17,0.35294117647058826
MI,all-surveys,"Genesee County, MI",Disagree,6,22,0.2727272727272727
MI,all-surveys,"Genesee County, MI",Strongly agree,6,22,0.2727272727272727
NE,all-surveys,"Scotts Bluff County Detention Center, NE",Strongly agree,6,26,0.23076923076923078
NJ,all-surveys,"Bergen County, NJ",Strongly disagree,6,32,0.1875
NJ,all-surveys,"Burlington County Department of Corrections, NJ",Strongly agree,6,24,0.25
NY,all-surveys,"Delaware County Correctional Facility, NY",Agree,6,12,0.5
NY,all-surveys,"Erie County, NY",Disagree,6,46,0.13043478260869565
NY,all-surveys,"Monroe County Sheriff's Department, NY",Strongly disagree,6,64,0.09375
NY,all-surveys,"Onondaga County, NY",Strongly agree,6,13,0.46153846153846156
NY,all-surveys,"Rensselaer County Correctional Facility, NY",Agree,6,11,0.5454545454545454
OH,all-surveys,"Greene County, OH: Adult Detention",Strongly agree,6,18,0.3333333333333333
OH,all-surveys,"Lorain County, OH ",Disagree,6,29,0.20689655172413793
OH,all-surveys,"Lorain County, OH ",Strongly agree,6,29,0.20689655172413793
OH,all-surveys,"Portage County, OH",Disagree,6,18,0.3333333333333333
OH,all-surveys,"Scioto County, OH ",Agree,6,10,0.6
PA,all-surveys,"Cambria County Prison, PA",Disagree,6,18,0.3333333333333333
PA,all-surveys,"Chester County Prison, PA",Agree,6,9,0.6666666666666666
PA,all-surveys,"Franklin County, PA",Disagree,6,24,0.25
PA,all-surveys,"Washington County, PA ",Strongly agree,6,44,0.13636363636363635
PA,all-surveys,"York County, PA",Strongly agree,6,13,0.46153846153846156
TX,all-surveys,"Johnson County, TX",Strongly disagree,6,37,0.16216216216216217
UT,all-surveys,"Iron County, UT",Disagree,6,15,0.4
UT,all-surveys,"Salt Lake City County, UT",Strongly disagree,6,48,0.125
VA,all-surveys,"Arlington County Detention Center, VA",Disagree,6,29,0.20689655172413793
VA,all-surveys,"Blue Ridge Regional Jail Authority, VA",Agree,6,10,0.6
VA,all-surveys,"Chesapeake Correctional Center, VA",Strongly disagree,6,61,0.09836065573770492
VA,all-surveys,"Meherrin River Alberta, VA",Strongly agree,6,13,0.46153846153846156
VA,all-surveys,"Middle Peninsula Regional Jail, VA",Disagree,6,13,0.46153846153846156
VA,all-surveys,"Pamunkey Regional Jail, VA",Strongly disagree,6,36,0.16666666666666666
WI,all-surveys,"Ozaukee County, WI",Agree,6,8,0.75
WI,all-surveys,"Rock County, WI",Disagree,6,26,0.23076923076923078
WI,all-surveys,"Winnebago County, WI",Agree,6,11,0.5454545454545454
WV,all-surveys,WV DCR Tygart Valley Regional Jail,Disagree,6,38,0.15789473684210525
