state,answer_set,facility_name,skills_for_politics,count,n_respondents,pct_of_respondents
FL,all-surveys,"Sarasota County, FL",Agree,21,46,0.45652173913043476
GA,all-surveys,"Athens Clarke County Jail, GA",Agree,21,50,0.42
MO,all-surveys,"Cape Girardeau County Jail, MO",Agree,21,47,0.44680851063829785
PA,all-surveys,"Berks County Jail, PA",Agree,21,48,0.4375
PA,all-surveys,"Montgomery County Correctional Facility, PA",Agree,21,55,0.38181818181818183
PA,all-surveys,"Washington County, PA ",Agree,21,44,0.4772727272727273
TX,all-surveys,"Collin County, TX ",Agree,21,52,0.40384615384615385
TX,all-surveys,"MTC: Giles Dalby, TX",Disagree,21,91,0.23076923076923078
WA,all-surveys,"Spokane County Jail, WA",Agree,21,71,0.29577464788732394
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Strongly disagree,20,226,0.08849557522123894
CO,all-surveys,"Weld County, CO",Strongly agree,20,89,0.2247191011235955
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Disagree,20,76,0.2631578947368421
IL,all-surveys,"Winnebago County, IL",Disagree,20,99,0.20202020202020202
IL,all-surveys,"Winnebago County, IL",Strongly agree,20,99,0.20202020202020202
NY,all-surveys,"Erie County, NY",Agree,20,46,0.43478260869565216
PA,all-surveys,"Lackawana County, PA",Strongly agree,20,82,0.24390243902439024
TX,all-surveys,"Johnson County, TX",Agree,20,37,0.5405405405405406
TX,all-surveys,"MTC: Giles Dalby, TX",Strongly agree,20,91,0.21978021978021978
UT,all-surveys,"Salt Lake City County, UT",Strongly agree,20,48,0.4166666666666667
CA,all-surveys,"Madera County, CA",Agree,19,42,0.4523809523809524
CA,all-surveys,"Orange County, CA - Theo Lacy",Strongly agree,19,91,0.2087912087912088
FL,all-surveys,"Escambia County Jail, FL",Agree,19,34,0.5588235294117647
FL,all-surveys,Santa Rosa County FL,Agree,19,41,0.4634146341463415
NY,all-surveys,"Monroe County Sheriff's Department, NY",Disagree,19,64,0.296875
PA,all-surveys,"Dauphin County Jail, PA",Strongly agree,19,83,0.2289156626506024
PA,all-surveys,"Lebanon County, PA",Agree,19,46,0.41304347826086957
TX,all-surveys,"McLennan County, TX",Disagree,19,56,0.3392857142857143
WA,all-surveys,"Spokane County Jail, WA",Disagree,19,71,0.2676056338028169
IN,all-surveys,"Hamilton County Main Jail, IN",Disagree,18,63,0.2857142857142857
MA,all-surveys,"Plymouth County Correctional Facility, MA",Agree,18,33,0.5454545454545454
MO,all-surveys,"St. Louis County Jail, MO",Disagree,18,73,0.2465753424657534
MO,all-surveys,"St. Louis County Jail, MO",Strongly agree,18,73,0.2465753424657534
OH,all-surveys,"Mahoning County Justice Center, OH",Disagree,18,78,0.23076923076923078
PA,all-surveys,"Dauphin County Jail, PA",Disagree,18,83,0.21686746987951808
TX,all-surveys,"Collin County, TX ",Strongly agree,18,52,0.34615384615384615
TX,all-surveys,"Guadalupe County, TX",Agree,18,50,0.36
VA,all-surveys,"Arlington County Detention Center, VA",Agree,18,29,0.6206896551724138
VA,all-surveys,"Chesapeake Correctional Center, VA",Strongly agree,18,61,0.29508196721311475
WV,all-surveys,WV DCR Tygart Valley Regional Jail,Agree,18,38,0.47368421052631576
CA,all-surveys,"Butte County, CA",Agree,17,46,0.3695652173913043
CA,all-surveys,"San Joaquin County Jail, CA",Strongly agree,17,76,0.2236842105263158
IL,all-surveys,"Kane County, IL",Agree,17,36,0.4722222222222222
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Strongly agree,17,64,0.265625
TX,all-surveys,"Guadalupe County, TX",Disagree,17,50,0.34
UT,all-surveys,"Salt Lake City County, UT",Agree,17,48,0.3541666666666667
AL,all-surveys,"Etowah County Jail, AL",Agree,16,31,0.5161290322580645
CO,all-surveys,"Mesa County, CO",Strongly agree,16,59,0.2711864406779661
MA,all-surveys,"Essex County Middleton HOC, MA",Disagree,16,59,0.2711864406779661
MI,all-surveys,"Kent County, MI ",Disagree,16,68,0.23529411764705882
NC,all-surveys,"Cumberland County, NC",Strongly agree,16,70,0.22857142857142856
NE,all-surveys,"Scotts Bluff County Detention Center, NE",Agree,16,26,0.6153846153846154
NY,all-surveys,"Erie County, NY",Strongly agree,16,46,0.34782608695652173
NY,all-surveys,"Niagara County Correctional Facility, NY",Agree,16,39,0.41025641025641024
PA,all-surveys,"Lackawana County, PA",Strongly disagree,16,82,0.1951219512195122
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Agree,16,41,0.3902439024390244
WA,all-surveys,"Spokane County Jail, WA",Strongly agree,16,71,0.22535211267605634
WV,all-surveys,WV DCR Southwestern Regional Jail,Agree,16,35,0.45714285714285713
AZ,all-surveys,"Pinal County Jail, AZ",Agree,15,35,0.42857142857142855
CA,all-surveys,"Alameda County-Santa Rita, CA",Agree,15,33,0.45454545454545453
CA,all-surveys,"Santa Barbara County, CA",Strongly agree,15,50,0.3
CA,all-surveys,"Ventura County Sheriff's Office, CA",Strongly agree,15,72,0.20833333333333334
CO,all-surveys,"Denver County Jail, CO",Disagree,15,102,0.14705882352941177
CO,all-surveys,"Pueblo County, CO",Disagree,15,63,0.23809523809523808
PA,all-surveys,"Delaware County, PA",Agree,15,24,0.625
TX,all-surveys,"Travis County Jail, TX",Strongly disagree,15,160,0.09375
WV,all-surveys,WV DCR Western Regional Jail,Agree,15,27,0.5555555555555556
CA,all-surveys,"Fresno County, CA",Strongly disagree,14,158,0.08860759493670886
CO,all-surveys,"Pueblo County, CO",Strongly agree,14,63,0.2222222222222222
FL,all-surveys,"Lee County, FL",Agree,14,38,0.3684210526315789
MI,all-surveys,"Livingston County, MI",Agree,14,25,0.56
MO,all-surveys,"Cape Girardeau County Jail, MO",Disagree,14,47,0.2978723404255319
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Disagree,14,64,0.21875
NJ,all-surveys,"Bergen County, NJ",Agree,14,32,0.4375
OH,all-surveys,"Cuyahoga County Justice Center, OH",Strongly disagree,14,151,0.09271523178807947
OH,all-surveys,"Muskingum County, OH",Agree,14,22,0.6363636363636364
PA,all-surveys,"Fayette County, PA",Agree,14,27,0.5185185185185185
PA,all-surveys,"Montgomery County Correctional Facility, PA",Disagree,14,55,0.2545454545454545
SC,all-surveys,"Richland County Glenn Detention Center, SC",Agree,14,24,0.5833333333333334
VA,all-surveys,"Pamunkey Regional Jail, VA",Agree,14,36,0.3888888888888889
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Disagree,14,41,0.34146341463414637
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Disagree,14,81,0.1728395061728395
VA,all-surveys,"Western Regional, VA",Agree,14,36,0.3888888888888889
WV,all-surveys,WV DCR North Central Regional Jail,Disagree,14,73,0.1917808219178082
CA,all-surveys,"Stanislaus County, CA",Strongly disagree,13,139,0.09352517985611511
CO,all-surveys,"Douglas Detention Center, CO",Agree,13,32,0.40625
GA,all-surveys,"Cobb County, GA",Agree,13,31,0.41935483870967744
GA,all-surveys,"Dekalb County Jail, GA",Agree,13,31,0.41935483870967744
IA,all-surveys,"Polk County, IA ",Agree,13,29,0.4482758620689655
MA,all-surveys,"Suffolk County Jail, MA",Disagree,13,63,0.20634920634920634
MA,all-surveys,"Suffolk County Jail, MA",Strongly agree,13,63,0.20634920634920634
MI,all-surveys,"Kent County, MI ",Strongly agree,13,68,0.19117647058823528
NC,all-surveys,"Cumberland County, NC",Disagree,13,70,0.18571428571428572
NC,all-surveys,"Cumberland County, NC",Strongly disagree,13,70,0.18571428571428572
OH,all-surveys,"Mahoning County Justice Center, OH",Strongly agree,13,78,0.16666666666666666
PA,all-surveys,"Montgomery County Correctional Facility, PA",Strongly agree,13,55,0.23636363636363636
TX,all-surveys,"Guadalupe County, TX",Strongly agree,13,50,0.26
TX,all-surveys,"Potter County Detention, TX",Strongly agree,13,52,0.25
WV,all-surveys,WV DCR North Central Regional Jail,Strongly agree,13,73,0.1780821917808219
CA,all-surveys,"Butte County, CA",Disagree,12,46,0.2608695652173913
CA,all-surveys,"Ventura County Sheriff's Office, CA",Disagree,12,72,0.16666666666666666
CO,all-surveys,"Weld County, CO",Strongly disagree,12,89,0.1348314606741573
FL,all-surveys,"Lee County, FL",Strongly agree,12,38,0.3157894736842105
FL,all-surveys,"Sarasota County, FL",Strongly agree,12,46,0.2608695652173913
MA,all-surveys,"Middlesex County House of Corrections, MA",Strongly agree,12,54,0.2222222222222222
MA,all-surveys,"Worcester County Jail, MA",Disagree,12,50,0.24
NC,all-surveys,Durham County NC - Detention Facility,Agree,12,19,0.631578947368421
OH,all-surveys,"Summit County, OH",Agree,12,31,0.3870967741935484
OH,all-surveys,"Summit County, OH",Disagree,12,31,0.3870967741935484
PA,all-surveys,"Lackawana County, PA",Disagree,12,82,0.14634146341463414
TX,all-surveys,"Wichita County, TX ",Agree,12,28,0.42857142857142855
WA,all-surveys,"Spokane County Jail, WA",Strongly disagree,12,71,0.16901408450704225
WA,all-surveys,"Yakima County, WA",Strongly agree,12,80,0.15
AL,all-surveys,"Riverside Regional, VA",Strongly agree,11,23,0.4782608695652174
CA,all-surveys,"Orange County, CA - Central Jail Complex",Strongly agree,11,67,0.16417910447761194
CA,all-surveys,"San Joaquin County Jail, CA",Disagree,11,76,0.14473684210526316
CA,all-surveys,"Ventura County Sheriff's Office, CA",Strongly disagree,11,72,0.1527777777777778
CO,all-surveys,"Jefferson County Detention Facility, CO",Strongly agree,11,46,0.2391304347826087
FL,all-surveys,Santa Rosa County FL,Strongly agree,11,41,0.2682926829268293
IN,all-surveys,"Boone County, IN",Agree,11,22,0.5
KS,all-surveys,"Douglas County, KS",Agree,11,19,0.5789473684210527
MA,all-surveys,"Barnstable County Correctional Facility, MA",Agree,11,24,0.4583333333333333
MA,all-surveys,"Middlesex County House of Corrections, MA",Disagree,11,54,0.2037037037037037
MI,all-surveys,"Macomb County, MI",Disagree,11,52,0.21153846153846154
MI,all-surveys,"Macomb County, MI",Strongly agree,11,52,0.21153846153846154
MO,all-surveys,"Cape Girardeau County Jail, MO",Strongly agree,11,47,0.23404255319148937
NJ,all-surveys,"Camden County Department of Corrections, NJ",Agree,11,18,0.6111111111111112
NY,all-surveys,"Albany County Correctional Facility, NY",Strongly agree,11,71,0.15492957746478872
NY,all-surveys,"Chautauqua County, NY",Agree,11,27,0.4074074074074074
NY,all-surveys,"Suffolk County, NY ",Disagree,11,51,0.21568627450980393
OH,all-surveys,"Lorain County, OH ",Agree,11,29,0.3793103448275862
OR,all-surveys,"Lincoln County, OR",Agree,11,35,0.3142857142857143
PA,all-surveys,"Lebanon County, PA",Strongly agree,11,46,0.2391304347826087
PA,all-surveys,"Westmoreland County, PA",Strongly agree,11,56,0.19642857142857142
UT,all-surveys,"Beaver County, UT",Agree,11,27,0.4074074074074074
WV,all-surveys,WV DCR North Central Regional Jail,Strongly disagree,11,73,0.1506849315068493
AZ,all-surveys,"Yavapai County Jail, AZ",Agree,10,22,0.45454545454545453
CA,all-surveys,"Orange County, CA - Theo Lacy",Strongly disagree,10,91,0.10989010989010989
CO,all-surveys,"Larimer County, CO",Agree,10,28,0.35714285714285715
CO,all-surveys,"Mesa County, CO",Strongly disagree,10,59,0.1694915254237288
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Strongly agree,10,76,0.13157894736842105
IN,all-surveys,"Hamilton County Main Jail, IN",Strongly agree,10,63,0.15873015873015872
IN,all-surveys,"Hamilton County Main Jail, IN",Strongly disagree,10,63,0.15873015873015872
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",Agree,10,27,0.37037037037037035
MA,all-surveys,"Bristol County House of Correction, MA",Disagree,10,46,0.21739130434782608
MA,all-surveys,"Hampshire County, MA",Agree,10,16,0.625
NJ,all-surveys,"Burlington County Department of Corrections, NJ",Agree,10,24,0.4166666666666667
NM,all-surveys,"Chaves County Adult Detention Center, NM",Agree,10,27,0.37037037037037035
NM,all-surveys,"Luna County Detention Center, NM",Agree,10,25,0.4
OR,all-surveys,"Lincoln County, OR",Strongly agree,10,35,0.2857142857142857
PA,all-surveys,"Allegheny County Jail, PA",Agree,10,15,0.6666666666666666
PA,all-surveys,"Berks County Jail, PA",Disagree,10,48,0.20833333333333334
PA,all-surveys,"Franklin County, PA",Agree,10,24,0.4166666666666667
PA,all-surveys,"Lehigh County, PA",Disagree,10,58,0.1724137931034483
PA,all-surveys,"Washington County, PA ",Disagree,10,44,0.22727272727272727
PA,all-surveys,"Westmoreland County, PA",Disagree,10,56,0.17857142857142858
TX,all-surveys,"Collin County, TX ",Disagree,10,52,0.19230769230769232
TX,all-surveys,"McLennan County, TX",Strongly agree,10,56,0.17857142857142858
WI,all-surveys,"Rock County, WI",Agree,10,26,0.38461538461538464
WV,all-surveys,WV DCR South Central Regional Jail,Agree,10,24,0.4166666666666667
WV,all-surveys,WV DCR Tygart Valley Regional Jail,Strongly agree,10,38,0.2631578947368421
CA,all-surveys,"Madera County, CA",Disagree,9,42,0.21428571428571427
CA,all-surveys,"Madera County, CA",Strongly agree,9,42,0.21428571428571427
