state,answer_set,facility_name,gender,count,n_respondents,pct_of_respondents
NY,all-surveys,"Erie County, NY",Man,48,56,0.8571428571428571
MA,all-surveys,"Bristol County House of Correction, MA",Man,47,57,0.8245614035087719
NJ,all-surveys,"Burlington County Department of Corrections, NJ",Man,47,47,1
PA,all-surveys,"Allegheny County Jail, PA",Man,47,54,0.8703703703703703
PA,all-surveys,"Lancaster County Prison, PA",Man,47,58,0.8103448275862069
SC,all-surveys,"Richland County Glenn Detention Center, SC",Man,47,57,0.8245614035087719
TX,all-surveys,"McLennan County, TX",Man,47,80,0.5875
CA,all-surveys,"Butte County, CA",Man,46,57,0.8070175438596491
GA,all-surveys,"Cobb County, GA",Man,46,58,0.7931034482758621
VA,all-surveys,"Pamunkey Regional Jail, VA",Man,46,59,0.7796610169491526
FL,all-surveys,Santa Rosa County FL,Man,45,60,0.75
FL,all-surveys,"Sarasota County, FL",Man,45,66,0.6818181818181818
WA,all-surveys,"King County Adult Detention, WA",Man,45,64,0.703125
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Woman,43,298,0.14429530201342283
CA,all-surveys,"Santa Clara County, CA",Woman,43,359,0.11977715877437325
FL,all-surveys,"Escambia County Jail, FL",Man,43,55,0.7818181818181819
GA,all-surveys,"Athens Clarke County Jail, GA",Man,43,68,0.6323529411764706
GA,all-surveys,"Bibb County Jail, GA",Man,43,51,0.8431372549019608
IL,all-surveys,"Cook County, IL",Woman,43,569,0.07557117750439367
MI,all-surveys,"Macomb County, MI",Man,40,55,0.7272727272727273
OH,all-surveys,"Summit County, OH",Man,40,49,0.8163265306122449
MA,all-surveys,"Plymouth County Correctional Facility, MA",Man,39,40,0.975
NY,all-surveys,"Niagara County Correctional Facility, NY",Man,39,49,0.7959183673469388
OH,all-surveys,Corrections Center of NW Ohio,Man,39,45,0.8666666666666667
UT,all-surveys,"Beaver County, UT",Man,39,40,0.975
AL,all-surveys,"Etowah County Jail, AL",Man,38,54,0.7037037037037037
AZ,all-surveys,"Pinal County Jail, AZ",Man,38,51,0.7450980392156863
PA,all-surveys,"Cambria County Prison, PA",Man,38,42,0.9047619047619048
TN,all-surveys,"Hamilton County, TN",Man,38,47,0.8085106382978723
TX,all-surveys,"Johnson County, TX",Man,38,50,0.76
OH,all-surveys,"Lorain County, OH ",Man,37,46,0.8043478260869565
WA,all-surveys,"Whatcom County, WA - Main Jail",Man,37,49,0.7551020408163265
WV,all-surveys,WV DCR Western Regional Jail,Man,37,39,0.9487179487179487
WV,all-surveys,WV DCR Southwestern Regional Jail,Man,36,47,0.7659574468085106
