state,answer_set,facility_name,gender,count,n_respondents,pct_of_respondents
VA,all-surveys,"Botetourt Craig Public Safety Facility, VA",Woman,8,15,0.5333333333333333
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Woman,8,64,0.125
WA,all-surveys,"Spokane County Jail, WA",Woman,8,83,0.0963855421686747
WA,all-surveys,"Whatcom County, WA - Main Jail",Woman,8,49,0.16326530612244897
WV,all-surveys,WV DCR Central Regional Jail,Woman,8,41,0.1951219512195122
WV,all-surveys,WV DCR Southwestern Regional Jail,Woman,8,47,0.1702127659574468
WV,all-surveys,WV DCR Tygart Valley Regional Jail,Woman,8,60,0.13333333333333333
CA,all-surveys,"Butte County, CA",Woman,7,57,0.12280701754385964
DC,all-surveys,DC DOC: Central Detention Facility,Woman,7,81,0.08641975308641975
FL,all-surveys,"Nassau County, FL",Woman,7,30,0.23333333333333334
FL,all-surveys,"Okaloosa County Department of Corrections, FL",Woman,7,58,0.1206896551724138
GA,all-surveys,"Hall County Jail, GA",Man,7,10,0.7
IL,all-surveys,Edovo Go - General,Woman,7,15,0.4666666666666667
KY,all-surveys,"Boyd County Detention Center, KY",Man,7,8,0.875
KY,all-surveys,"Pulaski County, KY",Woman,7,10,0.7
MD,all-surveys,"Anne Arundel County, MD",Woman,7,21,0.3333333333333333
MI,all-surveys,"Washtenaw County Jail, MI",Woman,7,25,0.28
MN,all-surveys,"Dakota County Jail, MN",Man,7,9,0.7777777777777778
NH,all-surveys,"Strafford County, NH",Man,7,8,0.875
NM,all-surveys,"Luna County Detention Center, NM",Woman,7,37,0.1891891891891892
NY,all-surveys,"Herkimer County Correctional Facility, NY",Man,7,8,0.875
NY,all-surveys,"Jefferson County, NY",Man,7,8,0.875
NY,all-surveys,"Livingston County Jail, NY",Man,7,8,0.875
NY,all-surveys,"Niagara County Correctional Facility, NY",Woman,7,49,0.14285714285714285
OH,all-surveys,"Medina County Jail, OH",Woman,7,20,0.35
OH,all-surveys,"Portage County, OH",Woman,7,29,0.2413793103448276
OR,all-surveys,"Polk County, OR",Man,7,7,1
PA,all-surveys,"Huntingdon County Prison, PA",Man,7,7,1
PA,all-surveys,"Monroe County Correctional Facility, PA",Man,7,7,1
PA,all-surveys,"Venango County Prison, PA",Woman,7,16,0.4375
TN,all-surveys,"Warren County Jail, TN",Woman,7,26,0.2692307692307692
TX,all-surveys,"Hunt County, TX",Woman,7,25,0.28
UT,all-surveys,"Uintah County Jail, UT",Man,7,7,1
UT,all-surveys,"Utah County Jail, UT",Man,7,7,1
VA,all-surveys,"Accommack County Jail, VA",Man,7,13,0.5384615384615384
VA,all-surveys,"Botetourt Craig Public Safety Facility, VA",Man,7,15,0.4666666666666667
WI,all-surveys,"Dodge County, WI",Woman,7,34,0.20588235294117646
WI,all-surveys,"La Crosse County Jail, WI",Man,7,12,0.5833333333333334
WI,all-surveys,"Langlade County, WI",Man,7,7,1
WY,all-surveys,"Converse County Detention Center, WY",Man,7,8,0.875
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ","Man, Prefer not to answer",6,881,0.00681044267877412
CA,all-surveys,"Fresno County, CA",Prefer not to answer,6,224,0.026785714285714284
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Nonbinary or gender non-conforming,6,298,0.020134228187919462
CA,all-surveys,"Santa Clara County, CA",Prefer not to answer,6,359,0.016713091922005572
GA,all-surveys,"Bibb County Jail, GA",Woman,6,51,0.11764705882352941
ID,all-surveys,Bannock County Criminal Justice Center,Man,6,6,1
IL,all-surveys,"Cook County, IL",Prefer not to answer,6,569,0.01054481546572935
IL,all-surveys,"Kankakee County Jail & Detention Center, IL",Man,6,7,0.8571428571428571
IN,all-surveys,"Marshall County Jail, IN",Man,6,6,1
MD,all-surveys,"Dorchester County Detention Center, MD",Man,6,7,0.8571428571428571
MD,all-surveys,"Washington County Detention Center, MD",Woman,6,36,0.16666666666666666
MI,all-surveys,Midland County Jail. MI,Man,6,7,0.8571428571428571
MS,all-surveys,"CoreCivic Tallahatchie, MS",Man,6,6,1
MT,all-surveys,"Dawson County, MT",Man,6,7,0.8571428571428571
NC,all-surveys,"Brunswick County Jail, NC",Man,6,12,0.5
NC,all-surveys,"Cleveland County Jail, NC",Man,6,9,0.6666666666666666
NC,all-surveys,"Craven County Jail, NC",Woman,6,34,0.17647058823529413
NC,all-surveys,"Cumberland County, NC",Woman,6,86,0.06976744186046512
NC,all-surveys,"Onslow County Jail, NC",Woman,6,33,0.18181818181818182
NJ,all-surveys,"Salem County Correctional Facility, NJ",Man,6,6,1
NM,all-surveys,"Curry County Detention Center, NM",Woman,6,30,0.2
NM,all-surveys,"Lea County Sheriff's Office, NM",Woman,6,35,0.17142857142857143
NM,all-surveys,"Valencia County Detention Center, NM",Man,6,6,1
NV,all-surveys,"Elko County, NV",Man,6,10,0.6
NY,all-surveys,"Onondaga County, NY",Woman,6,22,0.2727272727272727
NY,all-surveys,"Onondaga County-Justice Center, NY",Woman,6,39,0.15384615384615385
NY,all-surveys,"Sullivan County Jail, NY",Man,6,8,0.75
OH,all-surveys,"Fairfield County, OH",Woman,6,16,0.375
OH,all-surveys,"Greene County, OH: Adult Detention",Woman,6,24,0.25
PA,all-surveys,"Franklin County, PA",Woman,6,34,0.17647058823529413
PA,all-surveys,"Washington County, PA ",Woman,6,61,0.09836065573770492
TN,all-surveys,"Johnson County Jail, TN",Man,6,8,0.75
TX,all-surveys,"Fort Bend County Correctional Facility, TX",Man,6,6,1
TX,all-surveys,Hay's County Law Enforcement Center,Man,6,12,0.5
UT,all-surveys,"Iron County, UT",Woman,6,20,0.3
UT,all-surveys,"Sevier County, UT",Man,6,7,0.8571428571428571
VA,all-surveys,"Henrico County Sheriff's Office, VA",Woman,6,23,0.2608695652173913
WI,all-surveys,"Sheboygan County Jail, WI",Woman,6,30,0.2
