state,answer_set,facility_name,us_ready_elect_woman_president,count,n_respondents,pct_of_respondents
CA,all-surveys,"Sonoma County, CA",Not sure,7,31,0.22580645161290322
CA,all-surveys,"Tehama County, CA",Yes,7,13,0.5384615384615384
FL,all-surveys,"Citrus County Detention Facility, FL",Not sure,7,30,0.23333333333333334
FL,all-surveys,"Lee County, FL",Not sure,7,34,0.20588235294117646
GA,all-surveys,"Catoosa County Jail, GA",Yes,7,9,0.7777777777777778
GA,all-surveys,"Cobb County, GA",Not sure,7,38,0.18421052631578946
IL,all-surveys,"Vermilion County Jail, IL",No,7,19,0.3684210526315789
MA,all-surveys,"Berkshire County House of Corrections, MA",Yes,7,13,0.5384615384615384
MA,all-surveys,"Bristol County House of Correction, MA",Not sure,7,26,0.2692307692307692
MD,all-surveys,"Washington County Detention Center, MD",Not sure,7,30,0.23333333333333334
MI,all-surveys,"Kent County, MI ",Not sure,7,56,0.125
MN,all-surveys,"Dakota County Jail, MN",Yes,7,9,0.7777777777777778
MO,all-surveys,"Cape Girardeau County Jail, MO",Not sure,7,40,0.175
MS,all-surveys,"Madison County Detention Center, MS",No,7,17,0.4117647058823529
NC,all-surveys,"Cumberland County, NC",Not sure,7,36,0.19444444444444445
NJ,all-surveys,"Bergen County, NJ",No,7,29,0.2413793103448276
NM,all-surveys,"Santa Fe County Adult Correctional Facility, NM",Not sure,7,37,0.1891891891891892
NY,all-surveys,"Chautauqua County, NY",Not sure,7,24,0.2916666666666667
NY,all-surveys,"Livingston County Jail, NY",Yes,7,8,0.875
NY,all-surveys,"Onondaga County-Justice Center, NY",No,7,22,0.3181818181818182
OH,all-surveys,"Ashland County, OH ",Yes,7,11,0.6363636363636364
OH,all-surveys,"Medina County Jail, OH",Yes,7,11,0.6363636363636364
OH,all-surveys,"Portage County, OH",No,7,19,0.3684210526315789
OH,all-surveys,"Summit County, OH",No,7,26,0.2692307692307692
OR,all-surveys,"Lincoln County, OR",Yes,7,13,0.5384615384615384
PA,all-surveys,"Columbia County, PA",Yes,7,12,0.5833333333333334
PA,all-surveys,"Delaware County, PA",No,7,24,0.2916666666666667
UT,all-surveys,"Beaver County, UT",Not sure,7,33,0.21212121212121213
UT,all-surveys,"Weber County Correctional Facility, UT",No,7,20,0.35
VA,all-surveys,"Henrico County Sheriff's Office, VA",Not sure,7,24,0.2916666666666667
VA,all-surveys,"Loudoun County Adult Detention Center, VA",Yes,7,11,0.6363636363636364
VA,all-surveys,"Norfolk City Jail, VA",Not sure,7,16,0.4375
VA,all-surveys,"Norfolk City Jail, VA",Yes,7,16,0.4375
WV,all-surveys,WV DCR Central Regional Jail,Yes,7,31,0.22580645161290322
WV,all-surveys,WV DCR Eastern Regional Jail,Yes,7,11,0.6363636363636364
AZ,all-surveys,"Pinal County Jail, AZ",No,6,22,0.2727272727272727
CA,all-surveys,"Butte County, CA",No,6,19,0.3157894736842105
FL,all-surveys,"Okaloosa County Department of Corrections, FL",Not sure,6,59,0.1016949152542373
GA,all-surveys,"Athens Clarke County Jail, GA",Not sure,6,32,0.1875
GA,all-surveys,"Columbia County Detention Center, GA",No,6,17,0.35294117647058826
IA,all-surveys,"Polk County, IA ",No,6,26,0.23076923076923078
IA,all-surveys,"Polk County, IA ",Not sure,6,26,0.23076923076923078
ID,all-surveys,"Bonneville County, ID",Yes,6,13,0.46153846153846156
IN,all-surveys,"Boone County, IN",Yes,6,13,0.46153846153846156
IN,all-surveys,"Kosciusko County, IN",Yes,6,18,0.3333333333333333
KS,all-surveys,"Butler County Corrections, KS",Yes,6,13,0.46153846153846156
MA,all-surveys,"Essex County Middleton HOC, MA",Not sure,6,23,0.2608695652173913
MA,all-surveys,"Norfolk County Jail, MA",Not sure,6,13,0.46153846153846156
MA,all-surveys,"Worcester County Jail, MA",No,6,17,0.35294117647058826
MI,all-surveys,"Genesee County, MI",Not sure,6,21,0.2857142857142857
MI,all-surveys,"Macomb County, MI",Not sure,6,20,0.3
MO,all-surveys,"St. Louis County Jail, MO",Not sure,6,36,0.16666666666666666
MS,all-surveys,"Madison County Detention Center, MS",Yes,6,17,0.35294117647058826
NC,all-surveys,"Craven County Jail, NC",Not sure,6,35,0.17142857142857143
NC,all-surveys,"Stanly County Jail, NC",Not sure,6,15,0.4
NC,all-surveys,"Stanly County Jail, NC",Yes,6,15,0.4
NE,all-surveys,"Sarpy County Jail, NE",No,6,14,0.42857142857142855
NJ,all-surveys,"Cumberland County Jail, NJ",Yes,6,14,0.42857142857142855
NJ,all-surveys,"Ocean County, NJ",Yes,6,11,0.5454545454545454
NM,all-surveys,"Luna County Detention Center, NM",No,6,20,0.3
NY,all-surveys,"Albany County Correctional Facility, NY",Not sure,6,43,0.13953488372093023
NY,all-surveys,"Broome County Public Safety Facility, NY",No,6,20,0.3
NY,all-surveys,"Delaware County Correctional Facility, NY",No,6,12,0.5
NY,all-surveys,"Erie County, NY",No,6,24,0.25
NY,all-surveys,"Niagara County Correctional Facility, NY",Not sure,6,23,0.2608695652173913
NY,all-surveys,"Onondaga County, NY",Yes,6,10,0.6
NY,all-surveys,"Onondaga County-Justice Center, NY",Not sure,6,22,0.2727272727272727
OH,all-surveys,"Mahoning County Justice Center, OH",Not sure,6,29,0.20689655172413793
PA,all-surveys,"Cambria County Prison, PA",Not sure,6,34,0.17647058823529413
PA,all-surveys,"Centre County Correctional Facility, PA",Yes,6,9,0.6666666666666666
PA,all-surveys,"Fayette County, PA",No,6,16,0.375
PA,all-surveys,"Fayette County, PA",Yes,6,16,0.375
PA,all-surveys,"Huntingdon County Prison, PA",No,6,7,0.8571428571428571
PA,all-surveys,"Indiana County, PA",No,6,8,0.75
PA,all-surveys,"Northampton County Prison, PA",Yes,6,12,0.5
PA,all-surveys,"Venango County Prison, PA",No,6,16,0.375
TN,all-surveys,"McMinn County Justice Center, TN",No,6,23,0.2608695652173913
TN,all-surveys,"Warren County Jail, TN",No,6,26,0.23076923076923078
TN,all-surveys,"Warren County Jail, TN",Not sure,6,26,0.23076923076923078
TX,all-surveys,"Fannin County Jail, TX",No,6,12,0.5
TX,all-surveys,"GEO Group-Kinney County, TX",Yes,6,18,0.3333333333333333
TX,all-surveys,Hay's County Law Enforcement Center,No,6,11,0.5454545454545454
TX,all-surveys,"Potter County Detention, TX",Not sure,6,47,0.1276595744680851
TX,all-surveys,"Uvalde County, TX",Yes,6,12,0.5
UT,all-surveys,"Beaver County, UT",No,6,33,0.18181818181818182
UT,all-surveys,"Iron County, UT",Yes,6,9,0.6666666666666666
UT,all-surveys,"Salt Lake City County, UT",No,6,32,0.1875
VA,all-surveys,"Arlington County Detention Center, VA",Yes,6,9,0.6666666666666666
VA,all-surveys,"Blue Ridge Regional Jail Authority, VA",No,6,22,0.2727272727272727
VA,all-surveys,"Henrico County Sheriff's Office, VA",No,6,24,0.25
VA,all-surveys,"Meherrin River Alberta, VA",No,6,20,0.3
VA,all-surveys,"Northern Neck Regional Jail, VA",Yes,6,8,0.75
VA,all-surveys,"Piedmont Regional Security Center, VA",Yes,6,11,0.5454545454545454
VA,all-surveys,"Southside Regional Jail, VA",Yes,6,11,0.5454545454545454
WA,all-surveys,"Whatcom County, WA - Main Jail",No,6,32,0.1875
WI,all-surveys,"Dodge County, WI",No,6,18,0.3333333333333333
WI,all-surveys,"La Crosse County Jail, WI",Yes,6,12,0.5
WI,all-surveys,"Rock County, WI",Not sure,6,18,0.3333333333333333
WV,all-surveys,WV DCR South Central Regional Jail,Yes,6,15,0.4
