state,answer_set,facility_name,us_ready_elect_woman_president,count,n_respondents,pct_of_respondents
NE,all-surveys,"Lancaster County, NE",Yes,23,46,0.5
OH,all-surveys,Corrections Center of NW Ohio,Yes,23,45,0.5111111111111111
SC,all-surveys,"Richland County Glenn Detention Center, SC",Yes,23,46,0.5
TX,all-surveys,"McLennan County, TX",Yes,23,48,0.4791666666666667
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Not sure,22,117,0.18803418803418803
NM,all-surveys,"Santa Fe County Adult Correctional Facility, NM",Yes,22,37,0.5945945945945946
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Yes,22,39,0.5641025641025641
WV,all-surveys,WV DCR North Central Regional Jail,No,22,66,0.3333333333333333
CA,all-surveys,"Orange County, CA - Theo Lacy",No,21,73,0.2876712328767123
GA,all-surveys,"Cobb County, GA",Yes,21,38,0.5526315789473685
NC,all-surveys,"Craven County Jail, NC",Yes,21,35,0.6
NY,all-surveys,"Suffolk County, NY ",Yes,21,35,0.6
CA,all-surveys,"Fresno County, CA",Not sure,20,132,0.15151515151515152
CA,all-surveys,"Sonoma County, CA",Yes,20,31,0.6451612903225806
DC,all-surveys,DC DOC: Central Detention Facility,Not sure,20,74,0.2702702702702703
FL,all-surveys,"Leon County Jail, FL",Not sure,20,95,0.21052631578947367
FL,all-surveys,"Sarasota County, FL",Yes,20,33,0.6060606060606061
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",No,20,54,0.37037037037037035
MI,all-surveys,"Kent County, MI ",No,20,56,0.35714285714285715
WI,all-surveys,"Brown County Jail, WI",No,20,70,0.2857142857142857
CA,all-surveys,"Orange County, CA - Central Jail Complex",No,19,68,0.27941176470588236
CA,all-surveys,"Santa Clara County, CA",Yes,19,32,0.59375
CO,all-surveys,"Weld County, CO",Not sure,19,82,0.23170731707317074
KS,all-surveys,"Shawnee County Detention Center, KS",Yes,19,33,0.5757575757575758
MO,all-surveys,"St. Louis County Jail, MO",Yes,19,36,0.5277777777777778
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Yes,19,46,0.41304347826086957
NC,all-surveys,"Onslow County Jail, NC",Yes,19,33,0.5757575757575758
NY,all-surveys,"Monroe County Sheriff's Department, NY",Yes,19,41,0.4634146341463415
PA,all-surveys,"Lehigh County, PA",Yes,19,35,0.5428571428571428
PA,all-surveys,"Washington County, PA ",Yes,19,37,0.5135135135135135
TN,all-surveys,"Sullivan County Jail, TN",Not sure,19,88,0.2159090909090909
UT,all-surveys,"Beaver County, UT",Yes,19,33,0.5757575757575758
VA,all-surveys,"Chesapeake Correctional Center, VA",Yes,19,32,0.59375
CA,all-surveys,"Stanislaus County, CA",No,18,51,0.35294117647058826
FL,all-surveys,"Lee County, FL",Yes,18,34,0.5294117647058824
IN,all-surveys,"Hamilton County Main Jail, IN",No,18,63,0.2857142857142857
MO,all-surveys,"Cape Girardeau County Jail, MO",Yes,18,40,0.45
NC,all-surveys,"Cumberland County, NC",Yes,18,36,0.5
TX,all-surveys,"MTC: Giles Dalby, TX",No,18,60,0.3
WA,all-surveys,"Yakima County, WA",No,18,43,0.4186046511627907
CA,all-surveys,"Madera County, CA",No,17,64,0.265625
CO,all-surveys,"Larimer County, CO",Yes,17,31,0.5483870967741935
CO,all-surveys,"Mesa County, CO",No,17,55,0.3090909090909091
CO,all-surveys,"Weld County, CO",No,17,82,0.2073170731707317
IN,all-surveys,"La Port County Jail, IN",Yes,17,35,0.4857142857142857
NJ,all-surveys,"Essex County Correctional Facility, NJ",No,17,68,0.25
OH,all-surveys,Corrections Center of NW Ohio,No,17,45,0.37777777777777777
OH,all-surveys,"Mahoning County Justice Center, OH",Yes,17,29,0.5862068965517241
PA,all-surveys,"Allegheny County Jail, PA",Yes,17,40,0.425
PA,all-surveys,"Lancaster County Prison, PA",No,17,57,0.2982456140350877
TX,all-surveys,"Guadalupe County, TX",Yes,17,42,0.40476190476190477
WA,all-surveys,"Yakima County, WA",Yes,17,43,0.3953488372093023
WV,all-surveys,WV DCR Tygart Valley Regional Jail,No,17,35,0.4857142857142857
AZ,all-surveys,"Pima County Jail, AZ",Not sure,16,110,0.14545454545454545
FL,all-surveys,"St. Lucie County Jail, FL",No,16,27,0.5925925925925926
IL,all-surveys,"Winnebago County, IL",Not sure,16,107,0.14953271028037382
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",No,16,46,0.34782608695652173
NY,all-surveys,"Erie County, NY",Yes,16,24,0.6666666666666666
PA,all-surveys,"Cambria County Prison, PA",Yes,16,34,0.47058823529411764
TX,all-surveys,"Collin County, TX ",Yes,16,32,0.5
TX,all-surveys,"Guadalupe County, TX",No,16,42,0.38095238095238093
TX,all-surveys,"Travis County Jail, TX",Not sure,16,88,0.18181818181818182
CO,all-surveys,"Jefferson County Detention Facility, CO",No,15,42,0.35714285714285715
FL,all-surveys,"Lake County Detention Center, FL",Yes,15,29,0.5172413793103449
FL,all-surveys,Santa Rosa County FL,No,15,32,0.46875
GA,all-surveys,"Athens Clarke County Jail, GA",Yes,15,32,0.46875
IL,all-surveys,"DuPage County Jail, IL",Yes,15,29,0.5172413793103449
MO,all-surveys,"Cape Girardeau County Jail, MO",No,15,40,0.375
NC,all-surveys,"New Hanover County Detention Center, NC",Yes,15,23,0.6521739130434783
NJ,all-surveys,"Essex County Correctional Facility, NJ",Not sure,15,68,0.22058823529411764
NM,all-surveys,"Lea County Sheriff's Office, NM",Yes,15,26,0.5769230769230769
PA,all-surveys,"Allegheny County Jail, PA",No,15,40,0.375
PA,all-surveys,"Delaware County, PA",Yes,15,24,0.625
TX,all-surveys,"McLennan County, TX",No,15,48,0.3125
TX,all-surveys,"Potter County Detention, TX",No,15,47,0.3191489361702128
UT,all-surveys,"Salt Lake City County, UT",Yes,15,32,0.46875
VA,all-surveys,"Rappahannock Regional Jail, VA",Not sure,15,76,0.19736842105263158
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Not sure,15,54,0.2777777777777778
AZ,all-surveys,"Pinal County Jail, AZ",Yes,14,22,0.6363636363636364
CA,all-surveys,"Ventura County Sheriff's Office, CA",No,14,53,0.2641509433962264
FL,all-surveys,"Citrus County Detention Facility, FL",No,14,30,0.4666666666666667
IA,all-surveys,"Polk County, IA ",Yes,14,26,0.5384615384615384
IN,all-surveys,"La Port County Jail, IN",No,14,35,0.4
MA,all-surveys,"Bristol County House of Correction, MA",Yes,14,26,0.5384615384615384
NE,all-surveys,"Lancaster County, NE",Not sure,14,46,0.30434782608695654
NJ,all-surveys,"Bergen County, NJ",Yes,14,29,0.4827586206896552
NJ,all-surveys,"Burlington County Department of Corrections, NJ",Yes,14,22,0.6363636363636364
NY,all-surveys,"New York City Department of Correction, NY (NYC DOC)",Not sure,14,69,0.2028985507246377
OH,all-surveys,"Summit County, OH",Yes,14,26,0.5384615384615384
PA,all-surveys,"Berks County Jail, PA",Yes,14,33,0.42424242424242425
PA,all-surveys,"Chester County Prison, PA",No,14,27,0.5185185185185185
PA,all-surveys,"Dauphin County Jail, PA",Not sure,14,76,0.18421052631578946
SC,all-surveys,"Richland County Glenn Detention Center, SC",Not sure,14,46,0.30434782608695654
VA,all-surveys,"Pamunkey Regional Jail, VA",Not sure,14,35,0.4
VA,all-surveys,"Virginia Beach Correctional Facility, VA",No,14,54,0.25925925925925924
VA,all-surveys,"Western Regional, VA",Yes,14,27,0.5185185185185185
AL,all-surveys,"Etowah County Jail, AL",No,13,29,0.4482758620689655
AL,all-surveys,"Tuscaloosa County Jail, AL",Yes,13,32,0.40625
CA,all-surveys,"Orange County, CA - Central Jail Complex",Not sure,13,68,0.19117647058823528
FL,all-surveys,"Bay County, FL",Not sure,13,35,0.37142857142857144
FL,all-surveys,"Pinellas County Jail, FL",Not sure,13,88,0.14772727272727273
IN,all-surveys,"Floyd County Jail, IN",Yes,13,25,0.52
MA,all-surveys,"Hampshire County, MA",Yes,13,20,0.65
MA,all-surveys,"Middlesex County House of Corrections, MA",Yes,13,26,0.5
PA,all-surveys,"Lackawana County, PA",Not sure,13,66,0.19696969696969696
PA,all-surveys,"Lebanon County, PA",No,13,34,0.38235294117647056
PA,all-surveys,"Lehigh County, PA",No,13,35,0.37142857142857144
PA,all-surveys,"Montgomery County Correctional Facility, PA",No,13,57,0.22807017543859648
SC,all-surveys,"Pickens County Detention Facility, SC",Yes,13,28,0.4642857142857143
TN,all-surveys,"Hamilton County, TN",No,13,46,0.2826086956521739
TN,all-surveys,"McMinn County Justice Center, TN",Yes,13,23,0.5652173913043478
VA,all-surveys,"Blue Ridge Regional Jail Authority, VA",Yes,13,22,0.5909090909090909
WV,all-surveys,WV DCR North Central Regional Jail,Not sure,13,66,0.19696969696969696
AL,all-surveys,"Etowah County Jail, AL",Yes,12,29,0.41379310344827586
AL,all-surveys,"Tuscaloosa County Jail, AL",No,12,32,0.375
FL,all-surveys,"Bay County, FL",No,12,35,0.34285714285714286
MA,all-surveys,"Suffolk County Jail, MA",Yes,12,22,0.5454545454545454
MD,all-surveys,"Washington County Detention Center, MD",No,12,30,0.4
MI,all-surveys,"Washtenaw County Jail, MI",Yes,12,24,0.5
NM,all-surveys,"Curry County Detention Center, NM",Yes,12,20,0.6
NY,all-surveys,"Albany County Correctional Facility, NY",No,12,43,0.27906976744186046
NY,all-surveys,"Broome County Public Safety Facility, NY",Yes,12,20,0.6
NY,all-surveys,"Chautauqua County, NY",Yes,12,24,0.5
NY,all-surveys,"Niagara County Correctional Facility, NY",Yes,12,23,0.5217391304347826
PA,all-surveys,"Berks County Jail, PA",No,12,33,0.36363636363636365
PA,all-surveys,"Bucks County Correctional Facility, PA",Yes,12,16,0.75
PA,all-surveys,"Lebanon County, PA",Yes,12,34,0.35294117647058826
TN,all-surveys,"Warren County Jail, TN",Yes,12,26,0.46153846153846156
TX,all-surveys,"Collin County, TX ",No,12,32,0.375
VA,all-surveys,"Meherrin River Alberta, VA",Yes,12,20,0.6
WI,all-surveys,"Brown County Jail, WI",Not sure,12,70,0.17142857142857143
