state,answer_set,facility_name,who_vote_for_supplement,count,n_respondents,pct_of_respondents
NY,all-surveys,"Niagara County Correctional Facility, NY",Kamala Harris,8,25,0.32
OH,all-surveys,"Summit County, OH",Kamala Harris,8,26,0.3076923076923077
OR,all-surveys,"Lincoln County, OR",Kamala Harris,8,14,0.5714285714285714
PA,all-surveys,"Berks County Jail, PA",Kamala Harris,8,34,0.23529411764705882
TX,all-surveys,"Collin County, TX ",Kamala Harris,8,34,0.23529411764705882
TX,all-surveys,"Travis County Jail, TX",Wouldn't vote,8,90,0.08888888888888889
TX,all-surveys,"Wichita County, TX ",Donald J. Trump,8,13,0.6153846153846154
UT,all-surveys,"Salt Lake City County, UT",Kamala Harris,8,32,0.25
WI,all-surveys,"Dodge County, WI",Donald J. Trump,8,18,0.4444444444444444
CA,all-surveys,"Fresno County, CA",Third-party candidate,7,130,0.05384615384615385
CA,all-surveys,"Orange County, CA - Theo Lacy",Wouldn't vote,7,76,0.09210526315789473
CO,all-surveys,"Denver County Jail, CO",Don't know,7,73,0.0958904109589041
FL,all-surveys,"Pinellas County Jail, FL",Wouldn't vote,7,89,0.07865168539325842
GA,all-surveys,"Columbia County Detention Center, GA",Donald J. Trump,7,18,0.3888888888888889
IA,all-surveys,"Polk County, IA ",Kamala Harris,7,25,0.28
IL,all-surveys,"Vermilion County Jail, IL",Donald J. Trump,7,19,0.3684210526315789
IN,all-surveys,"Shelby County, IN",Donald J. Trump,7,9,0.7777777777777778
KS,all-surveys,"Sedgwick County Detention Facility, KS",Donald J. Trump,7,8,0.875
MA,all-surveys,"Barnstable County Correctional Facility, MA",Donald J. Trump,7,8,0.875
MA,all-surveys,"Middlesex County House of Corrections, MA",Kamala Harris,7,28,0.25
MD,all-surveys,"Anne Arundel County, MD",Donald J. Trump,7,8,0.875
MD,all-surveys,"Dorchester County Detention Center, MD",Kamala Harris,7,8,0.875
ME,all-surveys,"Kennebec County Jail, ME",Donald J. Trump,7,9,0.7777777777777778
ME,all-surveys,"Somerset County Jail, ME",Donald J. Trump,7,10,0.7
MI,all-surveys,"Bay County Law Enforcement Center, MI",Donald J. Trump,7,10,0.7
MI,all-surveys,"Muskegon County Jail, MI",Donald J. Trump,7,16,0.4375
MI,all-surveys,"Muskegon County Jail, MI",Kamala Harris,7,16,0.4375
MT,all-surveys,"Dawson County, MT",Donald J. Trump,7,8,0.875
NC,all-surveys,Durham County NC - Detention Facility,Donald J. Trump,7,14,0.5
NC,all-surveys,"Onslow County Jail, NC",Don't know,7,35,0.2
NH,all-surveys,"Hillsborough County House of Corrections, NH",Kamala Harris,7,13,0.5384615384615384
NJ,all-surveys,"Bergen County, NJ",Kamala Harris,7,29,0.2413793103448276
NJ,all-surveys,"Hudson County Corrections Center, NJ",Donald J. Trump,7,14,0.5
NJ,all-surveys,"Ocean County, NJ",Donald J. Trump,7,11,0.6363636363636364
NY,all-surveys,"Delaware County Correctional Facility, NY",Donald J. Trump,7,12,0.5833333333333334
NY,all-surveys,"Monroe County Sheriff's Department, NY",Wouldn't vote,7,41,0.17073170731707318
OH,all-surveys,"Mahoning County Justice Center, OH",Kamala Harris,7,29,0.2413793103448276
OH,all-surveys,"Portage County, OH",Kamala Harris,7,19,0.3684210526315789
PA,all-surveys,"Huntingdon County Prison, PA",Donald J. Trump,7,7,1
SC,all-surveys,"Sumter County Detention Center, SC",Donald J. Trump,7,13,0.5384615384615384
TN,all-surveys,"Sullivan County Jail, TN",Wouldn't vote,7,88,0.07954545454545454
TN,all-surveys,"Warren County Jail, TN",Kamala Harris,7,27,0.25925925925925924
TX,all-surveys,"McLennan County, TX",Don't know,7,49,0.14285714285714285
UT,all-surveys,"Sanpete County Jail, UT",Donald J. Trump,7,9,0.7777777777777778
VA,all-surveys,"Blue Ridge Regional Jail Authority, VA",Donald J. Trump,7,22,0.3181818181818182
VA,all-surveys,"Meherrin River Alberta, VA",Donald J. Trump,7,20,0.35
VA,all-surveys,"Norfolk City Jail, VA",Donald J. Trump,7,17,0.4117647058823529
VA,all-surveys,"Northern Neck Regional Jail, VA",Donald J. Trump,7,9,0.7777777777777778
VA,all-surveys,"Western Regional, VA",Kamala Harris,7,27,0.25925925925925924
WA,all-surveys,"Yakima County, WA",Kamala Harris,7,42,0.16666666666666666
WI,all-surveys,"Sheboygan County Jail, WI",Kamala Harris,7,30,0.23333333333333334
WV,all-surveys,WV DCR Eastern Regional Jail,Donald J. Trump,7,11,0.6363636363636364
AL,all-surveys,"Montgomery County, AL",Kamala Harris,6,21,0.2857142857142857
CA,all-surveys,"Alameda County-Santa Rita, CA",Donald J. Trump,6,17,0.35294117647058826
CA,all-surveys,"Orange County, CA - Central Jail Complex",Don't know,6,67,0.08955223880597014
CA,all-surveys,"Tuolumne-Dambacher Detention Center, CA",Donald J. Trump,6,8,0.75
CA,all-surveys,"Yuba County, CA ",Donald J. Trump,6,8,0.75
CO,all-surveys,"Mesa County, CO",Don't know,6,55,0.10909090909090909
CO,all-surveys,"Pueblo County, CO",Third-party candidate,6,53,0.11320754716981132
CO,all-surveys,"Pueblo County, CO",Wouldn't vote,6,53,0.11320754716981132
FL,all-surveys,"Lee County, FL",Don't know,6,33,0.18181818181818182
GA,all-surveys,"Cobb County, GA",Don't know,6,38,0.15789473684210525
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Wouldn't vote,6,57,0.10526315789473684
IL,all-surveys,"Madison County, IL",Donald J. Trump,6,10,0.6
IL,all-surveys,"McLean County, IL",Donald J. Trump,6,8,0.75
IL,all-surveys,"Winnebago County, IL",Don't know,6,109,0.05504587155963303
IN,all-surveys,"Elkhart County Jail, IN",Don't know,6,57,0.10526315789473684
IN,all-surveys,"Hamilton County Main Jail, IN",Don't know,6,63,0.09523809523809523
KS,all-surveys,"Butler County Corrections, KS",Kamala Harris,6,14,0.42857142857142855
KS,all-surveys,"Wyandotte County Detention Facility, KS",Donald J. Trump,6,12,0.5
KY,all-surveys,"Boyd County Detention Center, KY",Donald J. Trump,6,7,0.8571428571428571
MA,all-surveys,"Berkshire County House of Corrections, MA",Kamala Harris,6,13,0.46153846153846156
MA,all-surveys,"Essex County Middleton HOC, MA",Kamala Harris,6,24,0.25
MD,all-surveys,"Prince Georges County DOC, MD",Kamala Harris,6,14,0.42857142857142855
ME,all-surveys,"Cumberland County Jail, ME",Kamala Harris,6,12,0.5
MI,all-surveys,"Genesee County, MI",Kamala Harris,6,23,0.2608695652173913
MS,all-surveys,"Madison County Detention Center, MS",Donald J. Trump,6,16,0.375
MS,all-surveys,"Madison County Detention Center, MS",Kamala Harris,6,16,0.375
NC,all-surveys,"Cleveland County Jail, NC",Donald J. Trump,6,9,0.6666666666666666
NC,all-surveys,"Cumberland County, NC",Wouldn't vote,6,37,0.16216216216216217
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Wouldn't vote,6,47,0.1276595744680851
NE,all-surveys,"Scotts Bluff County Detention Center, NE",Donald J. Trump,6,13,0.46153846153846156
NJ,all-surveys,"Bergen County, NJ",Don't know,6,29,0.20689655172413793
NJ,all-surveys,"Camden County Department of Corrections, NJ",Donald J. Trump,6,11,0.5454545454545454
NJ,all-surveys,"Essex County Correctional Facility, NJ",Wouldn't vote,6,68,0.08823529411764706
NM,all-surveys,"Chaves County Adult Detention Center, NM",Donald J. Trump,6,10,0.6
NM,all-surveys,"Curry County Detention Center, NM",Donald J. Trump,6,21,0.2857142857142857
NY,all-surveys,"Cayuga County, NY",Donald J. Trump,6,12,0.5
NY,all-surveys,"Chautauqua County, NY",Don't know,6,24,0.25
NY,all-surveys,"New York City Department of Correction, NY (NYC DOC)",Don't know,6,71,0.08450704225352113
NY,all-surveys,"Pasco County Corrections, FL",Third-party candidate,6,147,0.04081632653061224
OH,all-surveys,"Fairfield County, OH",Donald J. Trump,6,8,0.75
OH,all-surveys,"Medina County Jail, OH",Donald J. Trump,6,11,0.5454545454545454
OH,all-surveys,"Muskingum County, OH",Donald J. Trump,6,10,0.6
PA,all-surveys,"Berks County Jail, PA",Wouldn't vote,6,34,0.17647058823529413
PA,all-surveys,"Chester County Prison, PA",Kamala Harris,6,27,0.2222222222222222
PA,all-surveys,"Cumberland County Prison, PA",Donald J. Trump,6,14,0.42857142857142855
PA,all-surveys,"Lackawana County, PA",Don't know,6,67,0.08955223880597014
PA,all-surveys,"Lancaster County Prison, PA",Wouldn't vote,6,58,0.10344827586206896
PA,all-surveys,"Lehigh County, PA",Kamala Harris,6,36,0.16666666666666666
PA,all-surveys,"Northampton County Prison, PA",Donald J. Trump,6,12,0.5
SC,all-surveys,"Aiken County, SC",Donald J. Trump,6,9,0.6666666666666666
SC,all-surveys,"Pickens County Detention Facility, SC",Kamala Harris,6,30,0.2
TX,all-surveys,"Guadalupe County, TX",Kamala Harris,6,42,0.14285714285714285
TX,all-surveys,"Hunt County, TX",Donald J. Trump,6,11,0.5454545454545454
TX,all-surveys,"San Patricio County Jail, TX",Donald J. Trump,6,8,0.75
TX,all-surveys,"Uvalde County, TX",Donald J. Trump,6,12,0.5
VA,all-surveys,"Middle Peninsula Regional Jail, VA",Donald J. Trump,6,8,0.75
VA,all-surveys,"Pamunkey Regional Jail, VA",Kamala Harris,6,36,0.16666666666666666
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Wouldn't vote,6,58,0.10344827586206896
WI,all-surveys,"Dodge County, WI",Kamala Harris,6,18,0.3333333333333333
WI,all-surveys,"Rock County, WI",Donald J. Trump,6,18,0.3333333333333333
WV,all-surveys,WV DCR Potomac Highlands Regional Jail,Donald J. Trump,6,11,0.5454545454545454
