state,answer_set,facility_name,who_vote_for,count,n_respondents,pct_of_respondents
CA,all-surveys,"Lassen County, CA",Donald J. Trump,6,10,0.6
CA,all-surveys,"Orange County, CA - Central Jail Complex",Don't know,6,69,0.08695652173913043
CA,all-surveys,"Orange County, CA - Central Jail Complex",Third-Party Candidate,6,69,0.08695652173913043
CA,all-surveys,"Santa Barbara County, CA",Third-Party Candidate,6,53,0.11320754716981132
CA,all-surveys,"Santa Barbara County, CA",Wouldn't vote,6,53,0.11320754716981132
CA,all-surveys,"Tulare County, CA-PreTrial Facility ",Donald J. Trump,6,8,0.75
CA,all-surveys,"Ventura County Sheriff's Office, CA",Wouldn't vote,6,72,0.08333333333333333
FL,all-surveys,"Sarasota County, FL",Joe Biden,6,48,0.125
FL,all-surveys,"Sarasota County, FL",Wouldn't vote,6,48,0.125
GA,all-surveys,"Cobb County, GA",Wouldn't vote,6,34,0.17647058823529413
GA,all-surveys,"Columbia County Detention Center, GA",Joe Biden,6,21,0.2857142857142857
GA,all-surveys,"Hall County Jail, GA",Donald J. Trump,6,10,0.6
IA,all-surveys,"Polk County, IA ",Third-Party Candidate,6,31,0.1935483870967742
IL,all-surveys,"Winnebago County, IL",Wouldn't vote,6,108,0.05555555555555555
KS,all-surveys,"Douglas County, KS",Donald J. Trump,6,20,0.3
KY,all-surveys,"Pulaski County, KY",Donald J. Trump,6,11,0.5454545454545454
MA,all-surveys,"Barnstable County Correctional Facility, MA",Joe Biden,6,24,0.25
MA,all-surveys,"Bristol County House of Correction, MA",Joe Biden,6,48,0.125
MA,all-surveys,"Middlesex County House of Corrections, MA",Third-Party Candidate,6,52,0.11538461538461539
MA,all-surveys,"Middlesex County House of Corrections, MA",Wouldn't vote,6,52,0.11538461538461539
MA,all-surveys,"Suffolk County Jail, MA",Third-Party Candidate,6,62,0.0967741935483871
MA,all-surveys,"Worcester County Jail, MA",Joe Biden,6,51,0.11764705882352941
MD,all-surveys,"Anne Arundel County, MD",Donald J. Trump,6,13,0.46153846153846156
MI,all-surveys,"Monroe County Correctional System, MI",Donald J. Trump,6,9,0.6666666666666666
NJ,all-surveys,"Mercer County Correction Center, NJ",Wouldn't vote,6,11,0.5454545454545454
NM,all-surveys,"Luna County Detention Center, NM",Joe Biden,6,26,0.23076923076923078
NY,all-surveys,"Chautauqua County, NY",Joe Biden,6,27,0.2222222222222222
NY,all-surveys,"Chemung County Jail, NY",Donald J. Trump,6,10,0.6
NY,all-surveys,"Delaware County Correctional Facility, NY",Donald J. Trump,6,12,0.5
NY,all-surveys,"Herkimer County Correctional Facility, NY",Donald J. Trump,6,8,0.75
NY,all-surveys,"Monroe County Sheriff's Department, NY",Joe Biden,6,64,0.09375
NY,all-surveys,"Niagara County Correctional Facility, NY",Third-Party Candidate,6,39,0.15384615384615385
NY,all-surveys,"Suffolk County, NY ",Joe Biden,6,52,0.11538461538461539
NY,all-surveys,"Suffolk County, NY ",Wouldn't vote,6,52,0.11538461538461539
OH,all-surveys,"Columbiana County Jail, OH",Wouldn't vote,6,17,0.35294117647058826
PA,all-surveys,"Berks County Jail, PA",Joe Biden,6,49,0.12244897959183673
PA,all-surveys,"Chester County Prison, PA",Donald J. Trump,6,8,0.75
PA,all-surveys,"Columbia County, PA",Donald J. Trump,6,17,0.35294117647058826
PA,all-surveys,"Dauphin County Jail, PA",Don't know,6,84,0.07142857142857142
PA,all-surveys,"Dauphin County Jail, PA",Joe Biden,6,84,0.07142857142857142
PA,all-surveys,"Lehigh County, PA",Don't know,6,59,0.1016949152542373
PA,all-surveys,"Northampton County Prison, PA",Donald J. Trump,6,10,0.6
PA,all-surveys,"Northumberland County, PA",Donald J. Trump,6,9,0.6666666666666666
PA,all-surveys,"Westmoreland County, PA",Don't know,6,57,0.10526315789473684
PA,all-surveys,"York County, PA",Donald J. Trump,6,13,0.46153846153846156
TX,all-surveys,"Collin County, TX ",Don't know,6,52,0.11538461538461539
TX,all-surveys,"Collin County, TX ",Joe Biden,6,52,0.11538461538461539
TX,all-surveys,"Potter County Detention, TX",Joe Biden,6,52,0.11538461538461539
UT,all-surveys,"Salt Lake City County, UT",Third-Party Candidate,6,50,0.12
UT,all-surveys,"Salt Lake City County, UT",Wouldn't vote,6,50,0.12
UT,all-surveys,"Sevier County, UT",Donald J. Trump,6,6,1
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Don't know,6,82,0.07317073170731707
WA,all-surveys,"Whatcom County, WA - Main Jail",Third-Party Candidate,6,23,0.2608695652173913
WA,all-surveys,"Yakima County, WA",Don't know,6,86,0.06976744186046512
WI,all-surveys,"Rock County, WI",Joe Biden,6,26,0.23076923076923078
