state,answer_set,facility_name,vote_impact_government_level,count,n_respondents,pct_of_respondents
NY,all-surveys,"Monroe County Sheriff's Department, NY",City / Town,19,60,0.31666666666666665
TX,all-surveys,"McLennan County, TX",City / Town,19,53,0.3584905660377358
CA,all-surveys,"Orange County, CA - Central Jail Complex",County,18,65,0.27692307692307694
CA,all-surveys,"Stanislaus County, CA",County,18,139,0.12949640287769784
FL,all-surveys,"Lee County, FL",Federal,18,35,0.5142857142857142
MA,all-surveys,"Middlesex County House of Corrections, MA",City / Town,18,51,0.35294117647058826
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Federal,18,65,0.27692307692307694
NY,all-surveys,"Albany County Correctional Facility, NY",Federal,18,67,0.26865671641791045
PA,all-surveys,"Berks County Jail, PA",State,18,47,0.3829787234042553
PA,all-surveys,"Lehigh County, PA",City / Town,18,58,0.3103448275862069
PA,all-surveys,"Washington County, PA ",City / Town,18,42,0.42857142857142855
TX,all-surveys,"Potter County Detention, TX",City / Town,18,48,0.375
WA,all-surveys,"Yakima County, WA",City / Town,18,80,0.225
CA,all-surveys,"Orange County, CA - Central Jail Complex",State,17,65,0.26153846153846155
CA,all-surveys,"Santa Barbara County, CA",State,17,50,0.34
CA,all-surveys,"Ventura County Sheriff's Office, CA",City / Town,17,69,0.2463768115942029
CO,all-surveys,"Mesa County, CO",Federal,17,57,0.2982456140350877
CO,all-surveys,"Pueblo County, CO",State,17,59,0.288135593220339
IN,all-surveys,"Hamilton County Main Jail, IN",State,17,60,0.2833333333333333
MA,all-surveys,"Bristol County House of Correction, MA",City / Town,17,45,0.37777777777777777
MA,all-surveys,"Worcester County Jail, MA",City / Town,17,48,0.3541666666666667
MI,all-surveys,"Kent County, MI ",Federal,17,70,0.24285714285714285
MI,all-surveys,"Macomb County, MI",State,17,53,0.32075471698113206
MO,all-surveys,"Cape Girardeau County Jail, MO",Federal,17,46,0.3695652173913043
NC,all-surveys,"Cumberland County, NC",State,17,70,0.24285714285714285
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",State,17,65,0.26153846153846155
OH,all-surveys,"Mahoning County Justice Center, OH",Federal,17,71,0.23943661971830985
PA,all-surveys,"Lackawana County, PA",State,17,79,0.21518987341772153
PA,all-surveys,"Montgomery County Correctional Facility, PA",State,17,51,0.3333333333333333
TX,all-surveys,"Collin County, TX ",City / Town,17,50,0.34
TX,all-surveys,"Travis County Jail, TX",County,17,152,0.1118421052631579
VA,all-surveys,"Roanoke City Adult Detention Center, VA",City / Town,17,39,0.4358974358974359
CA,all-surveys,"Orange County, CA - Central Jail Complex",Federal,16,65,0.24615384615384617
CO,all-surveys,"Mesa County, CO",City / Town,16,57,0.2807017543859649
GA,all-surveys,"Bibb County Jail, GA",State,16,42,0.38095238095238093
MA,all-surveys,"Bristol County House of Correction, MA",State,16,45,0.35555555555555557
MA,all-surveys,"Suffolk County Jail, MA",City / Town,16,61,0.26229508196721313
MI,all-surveys,"Macomb County, MI",City / Town,16,53,0.3018867924528302
NY,all-surveys,"Suffolk County, NY ",State,16,47,0.3404255319148936
PA,all-surveys,"Berks County Jail, PA",City / Town,16,47,0.3404255319148936
PA,all-surveys,"Montgomery County Correctional Facility, PA",City / Town,16,51,0.3137254901960784
VA,all-surveys,"Chesapeake Correctional Center, VA",City / Town,16,57,0.2807017543859649
WA,all-surveys,"Spokane County Jail, WA",State,16,70,0.22857142857142856
CA,all-surveys,"Butte County, CA",City / Town,15,46,0.32608695652173914
CA,all-surveys,"Butte County, CA",State,15,46,0.32608695652173914
CA,all-surveys,"Madera County, CA",City / Town,15,43,0.3488372093023256
CO,all-surveys,"Jefferson County Detention Facility, CO",State,15,43,0.3488372093023256
GA,all-surveys,"Dekalb County Jail, GA",State,15,33,0.45454545454545453
MA,all-surveys,"Worcester County Jail, MA",State,15,48,0.3125
MI,all-surveys,"Macomb County, MI",Federal,15,53,0.2830188679245283
MO,all-surveys,"St. Louis County Jail, MO",City / Town,15,68,0.22058823529411764
NC,all-surveys,"Cumberland County, NC",Federal,15,70,0.21428571428571427
NY,all-surveys,"Suffolk County, NY ",City / Town,15,47,0.3191489361702128
OH,all-surveys,"Cuyahoga County Justice Center, OH",County,15,146,0.10273972602739725
PA,all-surveys,"Lebanon County, PA",State,15,45,0.3333333333333333
PA,all-surveys,"Lehigh County, PA",Federal,15,58,0.25862068965517243
CA,all-surveys,"Fresno County, CA",County,14,153,0.0915032679738562
CA,all-surveys,"Orange County, CA - Central Jail Complex",City / Town,14,65,0.2153846153846154
CA,all-surveys,"Santa Barbara County, CA",City / Town,14,50,0.28
CA,all-surveys,"Ventura County Sheriff's Office, CA",Federal,14,69,0.2028985507246377
CO,all-surveys,"Pueblo County, CO",Federal,14,59,0.23728813559322035
FL,all-surveys,"Sarasota County, FL",Federal,14,43,0.32558139534883723
GA,all-surveys,"Athens Clarke County Jail, GA",Federal,14,51,0.27450980392156865
GA,all-surveys,"Athens Clarke County Jail, GA",State,14,51,0.27450980392156865
MA,all-surveys,"Middlesex County House of Corrections, MA",Federal,14,51,0.27450980392156865
MO,all-surveys,"St. Louis County Jail, MO",Federal,14,68,0.20588235294117646
NE,all-surveys,"Lancaster County, NE",State,14,39,0.358974358974359
NY,all-surveys,"Erie County, NY",City / Town,14,41,0.34146341463414637
NY,all-surveys,"Erie County, NY",State,14,41,0.34146341463414637
PA,all-surveys,"Dauphin County Jail, PA",State,14,81,0.1728395061728395
PA,all-surveys,"Lebanon County, PA",City / Town,14,45,0.3111111111111111
TX,all-surveys,"Collin County, TX ",Federal,14,50,0.28
TX,all-surveys,"Guadalupe County, TX",Federal,14,51,0.27450980392156865
TX,all-surveys,"Guadalupe County, TX",State,14,51,0.27450980392156865
TX,all-surveys,"Johnson County, TX",Federal,14,36,0.3888888888888889
