state,answer_set,facility_name,vote_impact_government_level,count,n_respondents,pct_of_respondents
MI,all-surveys,"Genesee County, MI",Federal,6,22,0.2727272727272727
MI,all-surveys,"Kalamazoo County, MI",State,6,20,0.3
MI,all-surveys,"Livingston County, MI",Federal,6,24,0.25
MI,all-surveys,"Livingston County, MI",State,6,24,0.25
NC,all-surveys,Durham County NC - Detention Facility,Federal,6,18,0.3333333333333333
NC,all-surveys,Durham County NC - Detention Facility,State,6,18,0.3333333333333333
NJ,all-surveys,"Burlington County Department of Corrections, NJ",State,6,22,0.2727272727272727
NJ,all-surveys,"Camden County Department of Corrections, NJ",Federal,6,18,0.3333333333333333
NJ,all-surveys,"Hudson County Corrections Center, NJ",Federal,6,17,0.35294117647058826
NM,all-surveys,"Chaves County Adult Detention Center, NM",Federal,6,21,0.2857142857142857
NM,all-surveys,"Curry County Detention Center, NM",City / Town,6,11,0.5454545454545454
NM,all-surveys,"Eddy County Detention Center, NM",City / Town,6,19,0.3157894736842105
NM,all-surveys,"Luna County Detention Center, NM",State,6,27,0.2222222222222222
NY,all-surveys,"Chautauqua County, NY",State,6,28,0.21428571428571427
NY,all-surveys,"Delaware County Correctional Facility, NY",Federal,6,12,0.5
NY,all-surveys,"Onondaga County-Justice Center, NY",State,6,23,0.2608695652173913
OR,all-surveys,"Lincoln County, OR",County,6,34,0.17647058823529413
PA,all-surveys,"Berks County Jail, PA",County,6,47,0.1276595744680851
PA,all-surveys,"Delaware County, PA",State,6,22,0.2727272727272727
PA,all-surveys,"Franklin County, PA",State,6,23,0.2608695652173913
TX,all-surveys,"Collin County, TX ",County,6,50,0.12
UT,all-surveys,"Iron County, UT",Federal,6,15,0.4
VA,all-surveys,"Meherrin River Alberta, VA",City / Town,6,15,0.4
WA,all-surveys,"King County Adult Detention, WA",State,6,11,0.5454545454545454
